1; Grandline;  Египет, Хургада;  9 дней;  от 83 307 руб.; 
2; Minamark Resort & Spa (ex. Minamark Beach Resort);  Египет, Хургада;  9 дней;  от 77 980 руб.; 
3; Kairaba Aqua Mondo Resort (Ex. Aqua Mondo Abu Soma Resort);  Египет, Сома Бей;  9 дней;  от 76 287 руб.; 
4; Amwaj Beach Club Abu Soma (ex. Pickalbatros Beach Club Resort;  Amwaj Blue Beach Resort & Spa);  Египет, Сома Бей;  9 дней; 
5; Falcon Naama Star;  Египет, Шарм-Эль-Шейх;  9 дней;  от 74 583 руб.; 
6; Dive Inn Resort;  Египет, Шарм-Эль-Шейх;  9 дней;  от 81 981 руб.; 
7; King Tut Aqua Park Beach Resort (ех. King Tut Resort);  Египет, Хургада;  9 дней;  от 72 579 руб.; 
8; IL Mercato Hotel & Spa;  Египет, Шарм-Эль-Шейх;  9 дней;  от 88 511 руб.; 
9; Eden Rock;  Египет, Шарм-Эль-Шейх;  9 дней;  от 72 854 руб.; 
10; Falcon Hills;  Египет, Шарм-Эль-Шейх;  9 дней;  от 75 985 руб.; 
11; Aladdin Beach Resort (ex. Dessole Aladdin Beach Resort);  Египет, Хургада;  9 дней;  от 83 307 руб.; 
12; Minamark Resort & Spa (ex. Minamark Beach Resort);  Египет, Хургада;  9 дней;  от 77 980 руб.; 
13; Kairaba Aqua Mondo Resort (Ex. Aqua Mondo Abu Soma Resort);  Египет, Сома Бей;  9 дней;  от 76 287 руб.; 
14; Amwaj Beach Club Abu Soma (ex. Pickalbatros Beach Club Resort;  Amwaj Blue Beach Resort & Spa);  Египет, Сома Бей;  9 дней; 
15; Falcon Naama Star;  Египет, Шарм-Эль-Шейх;  9 дней;  от 74 583 руб.; 
16; Dive Inn Resort;  Египет, Шарм-Эль-Шейх;  9 дней;  от 81 981 руб.; 
17; King Tut Aqua Park Beach Resort (ех. King Tut Resort);  Египет, Хургада;  9 дней;  от 72 579 руб.; 
18; IL Mercato Hotel & Spa;  Египет, Шарм-Эль-Шейх;  9 дней;  от 88 511 руб.; 
19; Eden Rock;  Египет, Шарм-Эль-Шейх;  9 дней;  от 72 854 руб.; 
20; Falcon Hills;  Египет, Шарм-Эль-Шейх;  9 дней;  от 75 985 руб.; 
21; Aladdin Beach Resort (ex. Dessole Aladdin Beach Resort);  Египет, Хургада;  9 дней;  от 83 307 руб.; 
22; Minamark Resort & Spa (ex. Minamark Beach Resort);  Египет, Хургада;  9 дней;  от 77 980 руб.; 
23; Kairaba Aqua Mondo Resort (Ex. Aqua Mondo Abu Soma Resort);  Египет, Сома Бей;  9 дней;  от 76 287 руб.; 
24; Amwaj Beach Club Abu Soma (ex. Pickalbatros Beach Club Resort;  Amwaj Blue Beach Resort & Spa);  Египет, Сома Бей;  9 дней; 
25; Falcon Naama Star;  Египет, Шарм-Эль-Шейх;  9 дней;  от 74 583 руб.; 
26; Dive Inn Resort;  Египет, Шарм-Эль-Шейх;  9 дней;  от 81 981 руб.; 
27; King Tut Aqua Park Beach Resort (ех. King Tut Resort);  Египет, Хургада;  9 дней;  от 72 579 руб.; 
28; IL Mercato Hotel & Spa;  Египет, Шарм-Эль-Шейх;  9 дней;  от 88 511 руб.; 
29; Eden Rock;  Египет, Шарм-Эль-Шейх;  9 дней;  от 72 854 руб.; 
30; Falcon Hills;  Египет, Шарм-Эль-Шейх;  9 дней;  от 75 985 руб.; 
